Date	Transaction	Amount	Name	Memo
3/1/2021	OTHER	8.75	Interac - Purchase - MARCHE SOUP	MARCHE SOUPSON MONTREAL  QC  CA
3/1/2021	OTHER	600	INTERAC e-Transfer To: Marie Cla	Transferred
3/2/2021	OTHER	1.09	Withdrawal to Tangerine Savings 	Transferred
3/2/2021	OTHER	36.38	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
3/3/2021	OTHER	0.62	Withdrawal to Tangerine Savings 	Transferred
3/3/2021	OTHER	900	EFT Deposit from CANADA	From CANADA
3/3/2021	OTHER	900	EFT Deposit from CANADA	From CANADA
3/3/2021	OTHER	11.25	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
3/3/2021	OTHER	22.03	Interac - Purchase - ALIMENTATIO	ALIMENTATION P. SAINT-LEON  QC  CA
3/4/2021	OTHER	1.94	Withdrawal to Tangerine Savings 	Transferred
3/4/2021	OTHER	14.55	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
3/5/2021	OTHER	1.18	Withdrawal to Tangerine Savings 	Transferred
3/5/2021	OTHER	11.25	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
3/6/2021	OTHER	1.83	Withdrawal to Tangerine Savings 	Transferred
3/6/2021	OTHER	10.58	Interac - Purchase - LA BOUFFE M	LA BOUFFE MAISO MONTREAL  QC  CA
3/7/2021	OTHER	1.23	Withdrawal to Tangerine Savings 	Transferred
3/7/2021	OTHER	31.9	Interac - Purchase - SAQ23344 LE	SAQ23344 LE BOU MONTREAL  QC  CA
3/8/2021	OTHER	0.1	Withdrawal to Tangerine Savings 	Transferred
3/8/2021	OTHER	20.13	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
3/9/2021	OTHER	0.87	Withdrawal to Tangerine Savings 	Transferred
3/10/2021	OTHER	0.57	Withdrawal to Tangerine Savings 	Transferred
